46	110	2
46	114	1
46	115	2
46	119	2
46	121	1
47	48	1
47	51	2
47	53	1
47	59	1
47	65	1
47	72	1
47	82	1
47	88	1
47	91	1
47	103	1
47	104	1
47	112	1
47	120	1
48	51	1
48	52	2
48	53	1
48	54	1
48	72	2
48	75	1
48	88	2
48	91	2
48	103	1
48	104	1
48	107	1
48	112	2
48	120	1
49	57	1
49	64	1
49	83	1
49	84	1
49	91	1
49	117	1
50	52	1
50	53	1
50	54	1
50	59	1
50	62	1
50	73	1
50	83	1
50	84	1
50	100	1
50	107	2
51	53	1
51	59	1
51	72	2
51	83	1
51	88	2
51	89	1
51	91	1
51	103	2
51	104	1
51	112	1
51	120	1
51	123	1
52	53	1
52	54	2
52	55	1
52	58	1
52	59	1
52	65	1
52	72	4
52	73	1
52	75	1
52	85	1
52	88	1
52	91	1
52	99	1
52	107	2
52	112	2
52	113	2
52	120	1
53	54	1
53	59	1
53	73	1
53	88	1
53	91	1
53	103	1
53	104	1
53	107	1
53	112	1
53	120	1
54	59	1
54	60	1
54	62	1
54	72	1
54	73	2
54	75	1
54	77	1
54	78	1
54	88	1
54	91	2
54	107	2
54	112	1
54	115	1
55	57	2
55	58	3
55	61	1
55	65	3
55	79	2
55	80	1
55	83	1
55	89	2
55	90	2
55	92	2
55	94	1
55	98	1
55	99	1
55	107	1
55	111	2
55	116	1
55	120	1
55	122	1
56	93	1
56	102	2
56	107	1
56	116	2
56	118	2
56	121	1
57	58	1
57	64	1
57	65	2
57	68	1
57	79	2
57	89	2
57	90	2
57	92	2
57	94	1
57	100	1
57	107	1
57	111	2
58	65	1
58	71	1
58	72	1
58	79	1
58	80	2
58	83	1
58	89	1
58	90	1
58	92	1
58	94	1
58	105	1
58	107	1
58	111	1
58	115	1
58	117	1
59	71	2
59	72	1
59	73	1
59	83	1
59	107	1
59	115	1
59	122	1
60	62	1
60	71	1
60	73	1
60	77	1
60	78	2
60	91	1
60	115	1
61	66	1
61	77	1
61	78	1
61	91	1
62	73	1
62	77	1
62	78	1
62	83	1
62	91	1
62	100	1
62	115	1
63	64	1
63	67	2
63	68	1
63	69	2
63	71	2
63	74	2
63	81	2
63	82	2
63	83	2
63	87	1
63	93	2
63	101	2
63	103	2
63	106	2
63	110	2
63	114	1
63	115	2
63	119	2
63	121	1
64	67	1
64	68	1
64	69	1
64	71	2
64	74	1
64	81	1
64	82	1
64	83	2
64	84	1
64	91	1
64	93	1
64	100	1
64	101	1
64	103	1
64	106	1
64	110	1
64	115	1
64	117	1
64	119	1
64	121	1
65	68	1
65	72	1
65	78	1
65	79	2
65	82	1
65	89	2
65	90	2
65	92	2
65	93	1
65	94	1
65	98	1
65	99	1
65	107	1
65	111	2
65	113	1
65	116	1
65	120	2
65	122	1
66	77	1
66	78	1
66	91	1
66	95	1
66	97	1
66	108	1
66	109	1
66	123	1
67	68	1
67	69	2
67	71	2
67	74	2
67	81	2
67	82	2
67	83	2
67	87	1
67	93	2
67	101	2
67	103	2
67	106	2
67	110	2
67	114	1
67	115	2
67	119	2
67	121	1
68	69	1
68	70	1
68	71	1
68	74	1
68	78	1
68	81	1
68	82	1
68	83	1
68	87	1
68	91	1
68	93	3
68	98	1
68	100	1
68	101	1
68	103	1
68	106	1
68	110	1
68	114	1
68	115	1
68	119	1
69	71	2
69	74	2
69	81	2
69	82	2
69	83	2
69	87	1
69	93	2
69	101	2
69	103	2
69	106	2
69	110	2
69	114	1
69	115	2
69	119	2
69	121	1
70	91	1
70	93	1
70	98	1
71	74	2
71	76	1
71	81	2
71	82	2
71	83	3
71	87	2
71	93	2
71	94	1
71	101	2
71	103	2
71	105	1
71	106	2
71	110	2
71	114	1
71	115	4
71	119	2
71	121	1
71	122	1
72	75	1
72	80	1
72	83	1
72	88	2
72	91	1
72	99	1
72	107	1
72	112	2
72	113	1
72	117	1
72	120	1
73	77	1
73	78	1
73	91	1
73	107	1
73	115	1
74	81	2
74	82	2
74	83	2
74	87	1
74	93	2
74	101	2
74	103	2
74	106	2
74	110	2
74	114	1
74	115	2
74	119	2
74	121	1
75	88	1
75	91	1
75	94	1
75	99	1
75	104	2
75	105	1
75	107	2
75	112	1
76	87	1
76	91	1
77	78	2
77	91	2
77	115	1
78	86	1
78	91	2
78	93	1
78	94	1
78	115	1
79	89	2
79	90	2
79	92	2
79	94	1
79	107	1
79	111	2
80	83	1
80	117	1
81	82	2
81	83	3
81	87	1
81	93	2
81	101	2
81	103	2
81	106	2
81	110	2
81	114	1
81	115	2
81	119	2
81	121	1
82	83	2
82	87	1
82	93	2
82	101	2
82	103	2
82	106	2
82	107	1
82	110	2
82	114	1
82	115	2
82	119	2
82	121	2
83	84	1
83	87	1
83	88	1
83	91	1
83	93	2
83	100	1
83	101	2
83	103	2
83	106	2
83	110	2
83	114	1
83	115	2
83	117	1
83	119	2
83	121	1
83	122	1
84	91	1
84	107	1
84	117	1
85	86	1
85	113	1
86	94	1
87	93	1
87	101	1
87	103	1
87	106	1
87	110	1
87	114	1
87	115	1
87	119	1
88	91	2
88	103	1
88	104	1
88	107	1
88	112	2
88	115	1
88	120	1
89	90	2
89	92	2
89	94	1
89	103	1
89	107	1
89	111	2
89	114	1
89	115	1
89	118	1
89	123	1
90	92	2
90	94	1
90	107	1
90	111	2
91	93	1
91	98	1
91	103	1
91	104	1
91	107	1
91	112	2
91	115	1
91	117	1
91	120	1
92	94	1
92	107	1
92	111	2
93	98	1
93	101	2
93	102	1
93	103	2
93	106	2
93	110	2
93	114	1
93	115	2
93	116	1
93	118	1
93	119	2
93	121	2
94	104	1
94	106	1
94	107	2
94	111	1
94	114	1
95	97	1
95	108	1
95	109	1
95	123	1
96	108	1
97	108	1
97	109	1
97	123	1
98	116	1
98	120	1
98	122	1
99	104	1
99	105	1
99	113	1
99	120	1
101	103	2
101	106	2
101	110	2
101	114	1
101	115	2
101	119	2
101	121	1
102	107	1
102	116	2
102	118	2
102	121	1
103	104	1
103	106	2
103	110	2
103	112	1
103	114	1
103	115	2
103	119	2
103	120	1
103	121	1
103	123	1
104	105	1
104	107	1
104	112	1
104	120	1
105	115	1
106	110	2
106	114	2
106	115	2
106	119	2
106	121	1
107	111	1
107	112	1
107	116	1
107	118	1
107	121	1
108	109	1
108	123	1
109	123	2
110	114	1
110	115	2
110	119	2
110	121	1
112	120	1
113	120	1
114	115	2
114	118	1
114	119	1
115	118	1
